site,start_timestamp,end_timestamp
FR-R92R-62,2020-11-14 22:38:05.0000000,2020-11-15 00:33:05.0000000
BK-R50R-48,2019-12-14 13:21:33.0000000,2019-12-14 15:14:33.0000000
LW-5800,2019-02-06 16:24:20.0000000,2019-02-06 16:44:20.0000000
ST-9828,2022-06-24 11:51:25.0000000,2022-06-24 12:40:25.0000000
HJ-5818,2020-12-11 03:50:41.0000000,2020-12-11 04:56:41.0000000
LW-1201,2021-04-20 22:30:48.0000000,2021-04-21 00:02:48.0000000
HN-1428,2021-04-24 11:04:14.0000000,2021-04-24 11:18:14.0000000
BK-R64Y-48,2019-05-30 12:41:17.0000000,2019-05-30 14:29:17.0000000
RM-M823,2022-07-13 20:22:32.0000000,2022-07-13 20:44:32.0000000
BK-R19B-52,2020-05-20 17:17:29.0000000,2020-05-20 19:05:29.0000000
BK-T79U-60,2019-02-21 06:42:46.0000000,2019-02-21 08:12:46.0000000
FR-M63B-40,2022-05-20 06:47:23.0000000,2022-05-20 08:18:23.0000000
BK-R64Y-38,2022-01-31 11:30:42.0000000,2022-01-31 11:47:42.0000000
FR-M94B-42,2019-11-24 06:53:35.0000000,2019-11-24 07:58:35.0000000
FR-R72Y-40,2021-04-25 08:48:03.0000000,2021-04-25 09:38:03.0000000
FR-R72R-48,2019-10-21 17:02:18.0000000,2019-10-21 18:09:18.0000000
LJ-0192-L,2020-07-19 20:51:21.0000000,2020-07-19 21:02:21.0000000
AR-5381,2020-08-29 14:00:12.0000000,2020-08-29 15:12:12.0000000
CL-9009,2020-01-31 21:14:45.0000000,2020-01-31 22:36:45.0000000
FW-7160,2019-11-30 07:08:43.0000000,2019-11-30 08:47:43.0000000
FR-T98Y-50,2022-08-30 03:44:26.0000000,2022-08-30 04:58:26.0000000
SA-M198,2021-01-01 09:40:37.0000000,2021-01-01 09:55:37.0000000
SL-0931,2021-06-01 04:44:48.0000000,2021-06-01 05:00:48.0000000
HN-3416,2020-07-30 16:26:09.0000000,2020-07-30 18:08:09.0000000
FR-R38B-60,2020-07-17 18:08:31.0000000,2020-07-17 19:05:31.0000000
HB-R956,2021-11-21 15:47:40.0000000,2021-11-21 16:24:40.0000000
BK-M82B-44,2020-08-22 09:19:06.0000000,2020-08-22 10:19:06.0000000
FR-R92R-48,2022-04-05 17:26:40.0000000,2022-04-05 19:09:40.0000000
FR-M63S-42,2022-05-13 09:40:12.0000000,2022-05-13 10:30:12.0000000
FW-9160,2020-04-05 00:52:49.0000000,2020-04-05 01:27:49.0000000
FC-3982,2019-08-20 21:39:02.0000000,2019-08-20 23:02:02.0000000
FR-T67U-62,2019-08-29 09:09:58.0000000,2019-08-29 09:56:58.0000000
FR-R92B-48,2021-03-13 18:44:53.0000000,2021-03-13 20:28:53.0000000
FR-M94B-46,2019-09-01 03:25:10.0000000,2019-09-01 04:35:10.0000000
CS-9183,2022-05-21 14:05:41.0000000,2022-05-21 15:06:41.0000000
HN-5818,2020-02-15 12:05:19.0000000,2020-02-15 13:25:19.0000000
PA-823Y,2021-02-20 03:13:44.0000000,2021-02-20 04:55:44.0000000
LN-7161,2021-06-18 18:04:28.0000000,2021-06-18 18:08:28.0000000
LW-6000,2021-05-27 20:23:05.0000000,2021-05-27 21:26:05.0000000
MS-2259,2022-10-02 12:40:39.0000000,2022-10-02 13:13:39.0000000
FW-R623,2022-07-16 02:54:50.0000000,2022-07-16 03:08:50.0000000
DT-2377,2021-08-09 00:12:40.0000000,2021-08-09 00:17:40.0000000
PD-T852,2020-01-06 21:01:49.0000000,2020-01-06 22:20:49.0000000
LW-6000,2019-01-26 12:09:48.0000000,2019-01-26 12:47:48.0000000
FR-M21B-48,2022-06-05 18:34:37.0000000,2022-06-05 18:46:37.0000000
BK-R50B-62,2019-12-04 13:58:05.0000000,2019-12-04 15:38:05.0000000
LT-H903,2022-06-22 01:08:56.0000000,2022-06-22 01:36:56.0000000
HN-5162,2020-11-14 11:57:58.0000000,2020-11-14 13:47:58.0000000
LE-1000,2019-03-26 17:02:29.0000000,2019-03-26 17:43:29.0000000
BK-R64Y-48,2021-05-13 16:20:31.0000000,2021-05-13 18:10:31.0000000
SD-2342,2022-04-26 05:08:41.0000000,2022-04-26 06:16:41.0000000
SH-9312,2019-12-20 07:10:54.0000000,2019-12-20 07:40:54.0000000
SA-T467,2019-06-23 04:16:06.0000000,2019-06-23 05:05:06.0000000
BK-M68B-38,2020-03-11 17:10:50.0000000,2020-03-11 18:07:50.0000000
HJ-3816,2019-09-19 22:20:38.0000000,2019-09-20 00:07:38.0000000
PD-R563,2021-01-04 10:37:08.0000000,2021-01-04 11:55:08.0000000
SH-M897-M,2020-01-03 03:43:58.0000000,2020-01-03 04:37:58.0000000
BC-R205,2019-09-28 12:44:06.0000000,2019-09-28 13:30:06.0000000
BK-M18B-40,2021-07-10 15:54:41.0000000,2021-07-10 16:09:41.0000000
GL-F110-M,2022-09-25 00:47:56.0000000,2022-09-25 01:07:56.0000000
SH-9312,2019-08-28 21:13:04.0000000,2019-08-28 21:47:04.0000000
BB-9108,2019-03-30 00:27:16.0000000,2019-03-30 02:10:16.0000000
FK-1639,2021-10-31 07:46:30.0000000,2021-10-31 09:21:30.0000000
BK-R50R-48,2020-10-22 00:04:39.0000000,2020-10-22 00:33:39.0000000
BK-R50B-44,2019-05-10 03:01:19.0000000,2019-05-10 03:39:19.0000000
HJ-5161,2019-11-26 14:22:29.0000000,2019-11-26 15:51:29.0000000
SE-T762,2022-03-06 11:40:37.0000000,2022-03-06 13:13:37.0000000
HJ-1428,2022-05-21 08:15:29.0000000,2022-05-21 09:57:29.0000000
RM-R436,2019-12-15 14:36:38.0000000,2019-12-15 15:01:38.0000000
PA-T100,2022-02-22 19:42:20.0000000,2022-02-22 21:17:20.0000000
FR-R38B-48,2021-02-16 12:44:42.0000000,2021-02-16 14:38:42.0000000
BK-M18B-40,2019-10-25 20:54:33.0000000,2019-10-25 21:40:33.0000000
HB-T721,2021-02-14 22:44:32.0000000,2021-02-14 23:26:32.0000000
BK-R50R-48,2022-05-03 02:12:31.0000000,2022-05-03 02:39:31.0000000
BK-M68B-38,2022-09-10 10:57:58.0000000,2022-09-10 11:15:58.0000000
BK-R89R-44,2021-01-14 13:58:55.0000000,2021-01-14 15:11:55.0000000
CA-1098,2022-09-11 15:48:18.0000000,2022-09-11 17:18:18.0000000
FR-M94S-42,2020-09-18 14:00:26.0000000,2020-09-18 15:39:26.0000000
HT-8019,2021-03-16 18:09:46.0000000,2021-03-16 18:23:46.0000000
CH-0234,2020-09-20 15:54:29.0000000,2020-09-20 17:28:29.0000000
BB-7421,2021-08-20 18:56:07.0000000,2021-08-20 19:15:07.0000000
BK-M18S-40,2022-01-11 04:24:17.0000000,2022-01-11 05:02:17.0000000
LJ-5811,2020-07-11 09:33:45.0000000,2020-07-11 10:16:45.0000000
BK-R19B-48,2020-07-06 19:46:04.0000000,2020-07-06 21:07:04.0000000
LJ-9080,2021-08-27 07:43:46.0000000,2021-08-27 09:08:46.0000000
BK-T79Y-60,2020-03-21 20:13:57.0000000,2020-03-21 20:33:57.0000000
FW-5160,2022-03-05 12:45:12.0000000,2022-03-05 14:08:12.0000000
HN-6320,2022-01-12 18:15:03.0000000,2022-01-12 19:05:03.0000000
LE-8000,2019-03-22 10:16:44.0000000,2019-03-22 11:16:44.0000000
BK-R89B-44,2022-08-05 20:17:41.0000000,2022-08-05 21:55:41.0000000
PA-361R,2020-09-14 15:24:39.0000000,2020-09-14 16:08:39.0000000
FR-R38R-58,2022-06-19 09:11:47.0000000,2022-06-19 09:22:47.0000000
PU-0452,2022-08-31 15:27:44.0000000,2022-08-31 17:02:44.0000000
FR-R92R-52,2022-07-31 19:21:40.0000000,2022-07-31 20:31:40.0000000
BK-M68S-46,2020-12-17 04:56:57.0000000,2020-12-17 06:09:57.0000000
HJ-9080,2020-03-19 01:45:23.0000000,2020-03-19 03:16:23.0000000
LI-6000,2021-11-14 17:29:44.0000000,2021-11-14 18:48:44.0000000
SE-M236,2021-02-08 09:53:45.0000000,2021-02-08 10:54:45.0000000
FR-R38B-52,2022-01-31 10:10:57.0000000,2022-01-31 12:03:57.0000000
HN-5400,2021-02-13 03:58:14.0000000,2021-02-13 04:24:14.0000000
LI-3800,2020-01-27 08:18:43.0000000,2020-01-27 10:12:43.0000000
HY-1023-70,2019-12-01 08:39:25.0000000,2019-12-01 09:59:25.0000000
SD-9872,2019-01-01 15:07:07.0000000,2019-01-01 15:47:07.0000000
FR-M94B-48,2021-11-20 21:20:28.0000000,2021-11-20 22:39:28.0000000
HN-7161,2020-03-30 12:53:43.0000000,2020-03-30 13:04:43.0000000
LN-7161,2021-11-21 11:51:42.0000000,2021-11-21 12:44:42.0000000
BK-R93R-48,2022-06-08 02:14:24.0000000,2022-06-08 02:40:24.0000000
FR-M21B-52,2022-05-31 06:51:14.0000000,2022-05-31 07:03:14.0000000
BK-R50B-58,2019-09-25 18:07:14.0000000,2019-09-25 18:30:14.0000000
SD-9872,2020-04-19 18:01:56.0000000,2020-04-19 19:21:56.0000000
LJ-0192-M,2021-02-13 12:47:33.0000000,2021-02-13 14:14:33.0000000
LJ-3416,2019-03-02 11:01:21.0000000,2019-03-02 12:25:21.0000000
FR-M94B-46,2020-03-15 04:21:25.0000000,2020-03-15 05:11:25.0000000
FR-T98U-60,2022-06-05 11:40:19.0000000,2022-06-05 13:31:19.0000000
FR-R72R-44,2020-01-18 06:33:52.0000000,2020-01-18 08:24:52.0000000
BK-R50B-44,2021-11-19 04:31:11.0000000,2021-11-19 05:16:11.0000000
FR-M21S-52,2019-08-26 22:33:07.0000000,2019-08-27 00:27:07.0000000
FR-R92R-44,2019-08-09 02:28:02.0000000,2019-08-09 04:03:02.0000000
SE-R581,2021-07-11 03:49:31.0000000,2021-07-11 05:06:31.0000000
HN-3824,2022-08-15 04:15:48.0000000,2022-08-15 06:11:48.0000000
BK-M82S-42,2020-06-14 00:09:21.0000000,2020-06-14 00:28:21.0000000
HJ-5162,2020-01-02 12:18:33.0000000,2020-01-02 14:10:33.0000000
FR-M94S-38,2021-12-10 07:20:10.0000000,2021-12-10 08:18:10.0000000
HN-3416,2020-02-13 13:12:41.0000000,2020-02-13 13:31:41.0000000
BK-R19B-58,2020-08-01 13:28:31.0000000,2020-08-01 13:37:31.0000000
FR-M94B-38,2021-11-22 19:38:35.0000000,2021-11-22 20:06:35.0000000
BK-M38S-42,2022-01-18 06:42:53.0000000,2022-01-18 08:34:53.0000000
BK-M82B-48,2022-09-30 09:41:40.0000000,2022-09-30 11:08:40.0000000
TI-R628,2019-05-07 03:27:09.0000000,2019-05-07 03:48:09.0000000
FR-R92B-48,2020-09-07 20:51:03.0000000,2020-09-07 22:14:03.0000000
MB-2024,2021-11-22 06:10:26.0000000,2021-11-22 06:35:26.0000000
CA-5965,2022-10-12 20:45:50.0000000,2022-10-12 21:06:50.0000000
PD-M340,2022-08-24 12:31:09.0000000,2022-08-24 12:51:09.0000000
LJ-0192-S,2021-12-18 15:16:35.0000000,2021-12-18 16:20:35.0000000
FC-3982,2020-06-27 06:52:08.0000000,2020-06-27 08:42:08.0000000
TI-R982,2022-05-22 18:31:21.0000000,2022-05-22 18:53:21.0000000
LN-3824,2022-02-05 21:40:02.0000000,2022-02-05 22:26:02.0000000
CA-5965,2020-12-15 22:16:10.0000000,2020-12-15 23:28:10.0000000
FR-R92B-48,2021-05-17 12:35:48.0000000,2021-05-17 13:39:48.0000000
LN-9161,2022-09-27 15:16:24.0000000,2022-09-27 16:50:24.0000000
FR-R38B-44,2021-05-02 20:57:25.0000000,2021-05-02 21:55:25.0000000
FR-R92B-44,2020-07-07 16:28:54.0000000,2020-07-07 17:51:54.0000000
LE-8000,2019-04-03 17:47:54.0000000,2019-04-03 17:57:54.0000000
LN-1420,2022-09-28 16:05:33.0000000,2022-09-28 16:29:33.0000000
SO-R809-L,2022-09-22 07:13:41.0000000,2022-09-22 08:27:41.0000000
FR-T67Y-62,2021-04-07 22:36:42.0000000,2021-04-07 22:37:42.0000000
SS-2985,2019-11-17 03:44:49.0000000,2019-11-17 05:37:49.0000000
BK-R68R-48,2021-09-01 14:46:07.0000000,2021-09-01 15:00:07.0000000
FR-R72R-52,2021-04-08 12:57:33.0000000,2021-04-08 13:19:33.0000000
RA-H123,2022-07-30 16:17:11.0000000,2022-07-30 16:19:11.0000000
BK-R89R-58,2021-05-30 16:26:36.0000000,2021-05-30 16:48:36.0000000
BK-T18U-62,2020-10-24 19:53:51.0000000,2020-10-24 21:01:51.0000000
FR-M21S-48,2022-04-23 21:46:21.0000000,2022-04-23 22:43:21.0000000
FR-R92B-48,2021-04-30 06:02:36.0000000,2021-04-30 06:34:36.0000000
PD-M562,2022-06-08 20:07:37.0000000,2022-06-08 20:08:37.0000000
FR-T67U-54,2022-05-19 10:06:01.0000000,2022-05-19 11:13:01.0000000
KW-4091,2019-07-29 14:15:23.0000000,2019-07-29 14:37:23.0000000
