site,start_timestamp,end_timestamp
PU-0452,2019-01-13 13:22:01.0000000,2019-01-13 14:36:01.0000000
FR-R38R-48,2022-08-26 11:24:40.0000000,2022-08-26 13:12:40.0000000
BK-R64Y-38,2021-04-06 16:15:55.0000000,2021-04-06 17:20:55.0000000
LJ-1220,2019-02-26 14:42:41.0000000,2019-02-26 15:30:41.0000000
FR-M94S-46,2020-08-31 06:34:43.0000000,2020-08-31 07:33:43.0000000
BK-R50B-62,2022-03-12 06:57:19.0000000,2022-03-12 08:04:19.0000000
FR-R72Y-48,2019-05-31 13:27:39.0000000,2019-05-31 15:23:39.0000000
LT-H903,2020-10-06 02:39:24.0000000,2020-10-06 03:38:24.0000000
HJ-5811,2019-06-13 09:06:06.0000000,2019-06-13 09:34:06.0000000
BK-M47B-38,2020-07-05 06:49:47.0000000,2020-07-05 07:41:47.0000000
SD-9872,2021-11-10 02:32:26.0000000,2021-11-10 03:56:26.0000000
GL-F110-M,2020-02-02 04:19:17.0000000,2020-02-02 06:08:17.0000000
FR-R38R-62,2021-01-28 18:20:26.0000000,2021-01-28 18:37:26.0000000
BK-R79Y-40,2019-03-08 03:49:18.0000000,2019-03-08 03:57:18.0000000
HN-1032,2021-12-09 04:21:25.0000000,2021-12-09 05:02:25.0000000
CA-6738,2022-02-27 20:04:58.0000000,2022-02-27 20:47:58.0000000
BK-R50B-48,2021-07-13 04:06:18.0000000,2021-07-13 05:23:18.0000000
BK-M68B-38,2021-05-12 18:29:11.0000000,2021-05-12 19:13:11.0000000
FR-R38B-48,2019-08-31 05:03:34.0000000,2019-08-31 06:08:34.0000000
MS-0253,2019-12-08 13:17:44.0000000,2019-12-08 15:04:44.0000000
LE-6000,2019-10-22 12:46:33.0000000,2019-10-22 13:57:33.0000000
BK-R50R-58,2019-06-21 11:09:28.0000000,2019-06-21 11:15:28.0000000
HB-T928,2019-04-27 16:49:48.0000000,2019-04-27 18:26:48.0000000
HN-6320,2020-09-25 02:41:05.0000000,2020-09-25 04:29:05.0000000
HU-6280,2022-08-27 19:38:46.0000000,2022-08-27 20:42:46.0000000
SE-T762,2020-12-05 22:51:38.0000000,2020-12-06 00:06:38.0000000
BK-M18B-44,2020-07-29 07:45:24.0000000,2020-07-29 07:57:24.0000000
FR-M94B-38,2019-02-24 13:01:05.0000000,2019-02-24 14:05:05.0000000
BK-M68B-42,2022-06-13 12:02:32.0000000,2022-06-13 13:10:32.0000000
FR-R38B-60,2019-05-30 05:14:40.0000000,2019-05-30 05:25:40.0000000
HN-5162,2019-03-25 06:38:28.0000000,2019-03-25 08:03:28.0000000
HU-8998,2022-03-01 17:18:56.0000000,2022-03-01 18:11:56.0000000
FR-R72Y-44,2022-04-30 09:55:15.0000000,2022-04-30 10:33:15.0000000
BK-M18B-40,2021-04-11 04:52:57.0000000,2021-04-11 05:14:57.0000000
HN-1220,2020-08-30 23:06:40.0000000,2020-08-31 00:43:40.0000000
BK-T18U-62,2019-08-07 05:43:07.0000000,2019-08-07 06:48:07.0000000
HB-R956,2021-04-07 08:41:03.0000000,2021-04-07 08:57:03.0000000
BC-R205,2020-01-14 12:12:40.0000000,2020-01-14 13:25:40.0000000
RM-T801,2021-10-26 20:08:05.0000000,2021-10-26 21:46:05.0000000
FW-3400,2022-05-08 05:52:25.0000000,2022-05-08 06:31:25.0000000
